time[s],u[m/s]
677,6.570024e-01,1.300000e+01
678,9.014010e-01,1.800000e+01
679,3.555089e-01,7.000000e+00
680,9.164893e-01,1.800000e+01
681,3.061465e-01,6.000000e+00
682,8.496833e-01,1.600000e+01
683,5.108864e-01,1.000000e+01
684,9.995259e-01,1.900000e+01
685,1.895323e-03,0.000000e+00
686,7.566922e-03,0.000000e+00
687,3.003865e-02,0.000000e+00
688,1.165453e-01,2.000000e+00
689,4.118501e-01,8.000000e+00
690,9.689184e-01,1.900000e+01
691,1.204623e-01,2.000000e+00
692,4.238045e-01,8.000000e+00
693,9.767770e-01,1.900000e+01
694,9.073489e-02,1.000000e+00
695,3.300083e-01,6.000000e+00
696,8.844113e-01,1.700000e+01
697,4.089119e-01,8.000000e+00
698,9.668118e-01,1.900000e+01
699,1.283469e-01,2.000000e+00
700,4.474958e-01,8.000000e+00
701,9.889732e-01,1.900000e+01
702,4.362066e-02,0.000000e+00
703,1.668716e-01,3.000000e+00
704,5.561018e-01,1.100000e+01
705,9.874103e-01,1.900000e+01
706,4.972461e-02,0.000000e+00
707,1.890083e-01,3.000000e+00
708,6.131366e-01,1.200000e+01
709,9.488004e-01,1.800000e+01
710,1.943127e-01,3.000000e+00
711,6.262211e-01,1.200000e+01
712,9.362729e-01,1.800000e+01
713,2.386638e-01,4.000000e+00
714,7.268136e-01,1.400000e+01
715,7.942224e-01,1.500000e+01
716,6.537327e-01,1.300000e+01
717,9.054651e-01,1.800000e+01
718,3.423924e-01,6.000000e+00
719,9.006393e-01,1.800000e+01
720,3.579525e-01,7.000000e+00
721,9.192900e-01,1.800000e+01
722,2.967836e-01,5.000000e+00
723,8.348123e-01,1.600000e+01
724,5.516028e-01,1.100000e+01
725,9.893486e-01,1.900000e+01
726,4.215184e-02,0.000000e+00
727,1.615003e-01,3.000000e+00
728,5.416717e-01,1.000000e+01
729,9.930539e-01,1.900000e+01
730,2.759148e-02,0.000000e+00
731,1.073208e-01,2.000000e+00
732,3.832121e-01,7.000000e+00
733,9.454424e-01,1.800000e+01
734,2.063244e-01,4.000000e+00
735,6.550187e-01,1.300000e+01
736,9.038768e-01,1.800000e+01
